WBGene_ID,Gene_name,Peptide_count,Neurons,Gonad,Hypodermis,Pharynx,Body_wall_muscle,Glia,Intestine,Germline,Somatic_gonad_precursors,Seam_cells,Non-seam_hypodermis,Pharyngeal_epithelia,Pharyngeal_muscle,Pharyngeal_neurons,Pharyngeal_gland,Body_wall_muscle,Sex_myoblasts,Intestinal/rectal_muscle,Socket_cells,Am/PH_sheath_cells,Cholinergic_neurons,Touch_receptor_neurons,GABAergic_neurons,Oxygen_sensory_neurons,flp-1(+)_interneurons,Canal_associated_neurons,Ciliated_sensory_neurons,Other_interneurons,Rectum,Distal_tip_cells,Vulval_precursors,Coelomocytes,Excretory_cells,AFD,ASEL,ASER,ASG,ASI/ASJ,ASK,AWA,AWB/AWC,Cholinergic_(3),Cholinergic_(11),Cholinergic_(15),Cholinergic_(23),Cholinergic_(24),Cholinergic_(26),Cholinergic_(29),Cholinergic_(35),Cholinergic_(36),GABAergic,Dopaminergic,flp-1(+),BAG,URX/AQR/PQR,Touch_receptor,PVC/PVD,SDQ/ALN/PLN,CAN,RIA,RIC,DVA,Cluster_5,Cluster_10,Cluster_13,Cluster_16,Cluster_17,Cluster_21,Cluster_25,Cluster_27,Cluster_40,Pharyngeal_(33),Pharyngeal_(37)
WBGene00011480,enpl-1,243,261.221,599.564,626.319,1800.445,134.485,564.021,3594.501,608.5336587,318.82343,776.8107644,232.2112071,980.5798198,1640.034021,205.88234,2581.230756,134.4850618,388.5435407,210.0273179,469.518044,796.2135078,249.8643322,305.5511742,226.9877303,107.0292118,302.4813254,539.3244051,451.70307,379.3396636,600.7771772,1043.923241,507.6952586,1994.975749,344.9916002,91.47,618.52,126.74,662.6,810.52,243.74,407.84,156.64,162,217.77,658.8,0,319.82,136.84,380.15,150.44,167.76,242.12,173.6,336.87,119.96,193.98,305.55,552.84,59.23,539.32,202.65,251.02,196.2,43.83,145.21,120.94,206.54,86.39,661.43,187.62,0,0,392.3,152.4
WBGene00004076,pod-2,108,83.68,144.628,294.43,67.963,55.236,53.378,3433.841,143.0181687,109.7578972,297.5110442,260.1072354,65.10797509,76.63909638,57.34695708,35.1339434,55.23575546,139.8877717,110.8074987,117.8668727,11.55097063,87.29654208,41.68702929,95.21394615,104.9976733,54.40150218,164.9369549,73.82258206,83.43694827,145.3483224,307.9543758,63.20511749,71.79896104,192.338891,0,0,0,0,0,171.17,0,54.11,51.13,103.71,389.89,0,58.79,106.9,78.68,31.52,78.31,101.56,27.71,78.18,13.82,148.61,41.69,153.23,121.92,164.94,0,72.63,0,0,48.23,72.39,60.9,0,97.62,101.11,88.21,0,0,73.8
WBGene00012018,T25C12.3,311,3.056,0.893,2.775,0,1.9,6.84,3304.867,0.979887822,0,2.896012932,2.480251063,0,0,0,0,1.899679406,2.025000658,0,16.36293086,1.397106592,0,0,0,0,0,0,14.05501131,0,9.757430283,0,4.443292767,0,0,0,0,0,0,0,164.37,0,0,0,5.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009259,hpo-34,124,7.358,0.735,2.821,3.63,1.911,0,3250.204,0.806830173,0,2.718228818,3.548985387,0,0,0,0,1.91149469,3.756390417,0,0,0,0,26.97308087,0,8.155941603,0,0,2.421301643,14.19708392,5.586030455,0,0,16.09393296,0,0,0,0,0,0,0,0,0,0,9.77,0,0,0,0,0,0,0,0,0,0,0,0,26.97,28.85,15.55,0,0,0,0,0,0,0,13.07,0,0,41.42,0,0,0,0
WBGene00001167,eef-2,574,1244.633,3827.243,2314.259,2499.798,3351.244,2381.642,3246.098,3735.418285,5322.034079,2682.173283,1404.644642,1736.25307,2759.350026,1590.26707,4319.64372,3351.244362,5555.952824,3541.536165,1888.327778,2929.883444,1099.085748,1012.366911,1035.045131,1192.758077,1748.076551,2798.747821,1579.910996,837.7104381,1573.193159,3210.899719,5784.903632,4086.493271,2012.387706,614.64,1862.67,1754.52,1347.24,1711.8,625.24,3647.19,1436.6,719.3,1152.6,2456.56,1178.93,1414.27,954.26,1064.2,1124.82,1239.04,1013.84,1136.69,1484.69,1043.19,2523.04,1012.37,505.32,606.87,2798.75,1147.31,1395.28,1009.8,611.82,3084.03,1171.21,1333.34,190.5,1267.98,1522.84,525.72,90.09,751.52,1830.89
WBGene00004736,sca-1,233,410.754,441.056,467.075,460.839,6677.404,455.694,3160.187,404.9095713,569.2469169,509.2919035,353.3436339,257.830533,1162.361633,236.3710416,602.2909304,6677.404318,485.8299151,3921.360354,437.1456393,535.3565489,432.5606919,695.3439834,298.1724903,328.2974022,429.8098688,378.4433051,368.284336,501.8990167,359.0353903,1510.636062,656.2780687,622.6647023,714.843898,354.58,158.4,353.04,300.27,654.83,557.09,148.93,237.78,439.54,345.17,133.07,668.91,301.97,557.75,749.11,346.68,647.68,260.56,351.13,340.98,374.46,324.54,695.34,736.07,310.8,378.44,296.08,251.39,258.57,203.97,290.5,16.03,536.88,271.82,174.1,693.39,216.31,245.4,721,97.34
WBGene00007463,vgln-1,187,221.56,667.711,703.757,662.477,861.808,451.896,2941.857,644.1415557,532.7438818,696.7516708,686.2685312,498.1331904,586.2976946,296.0579418,1342.065948,861.8077033,458.9651857,932.3972741,393.5167258,560.0048347,183.7552956,373.8234186,70.53425777,109.4847544,301.8000948,839.5364635,277.7345958,188.9401457,1182.702616,1988.305744,383.5337082,871.4199604,290.0213977,0,33.91,0,398.41,509.71,0,55.22,370.74,148.12,212.86,273.23,115.14,186.92,95.29,125.34,576.74,103.9,75.24,123.32,248.32,0,23.57,373.82,177.39,197.22,839.54,208.32,90.72,265.98,78.65,333.76,314.5,317.94,69.01,347.81,149.86,164.54,0,178.52,329.78
WBGene00003964,pdi-3,242,592.735,864.4,1438.492,1288.367,1033.561,1298.595,2940.817,772.2817287,1330.424109,1646.805876,982.0870235,642.1022358,523.1239919,508.5320336,4637.003416,1033.560736,1648.123437,1580.465415,842.2836263,1787.338739,704.2594842,504.7948548,709.2690515,273.3352351,492.9642785,805.3575272,568.8894514,922.4937096,1892.558085,3192.988408,1131.348051,3431.894043,1114.672987,0,270.52,59.96,589.73,693.63,109.39,387.3,898.9,584.62,570.91,1548.36,467.78,589.55,685.62,942.61,0,828.45,730.02,499.98,457.51,274.02,305.07,504.79,989.38,257.58,805.36,979.34,1146.73,456.17,338.66,662.64,356.26,474.84,260.67,523.45,557.35,293.81,0,348.13,554.55
WBGene00019017,F57F4.4,3,3.96,1.962,1.575,2.539,0.256,2.988,2803.411,2.152212777,0,1.091529658,2.32255667,0,0,0,0,0.255740326,0,10.70354184,0,7.620934708,2.641344973,0,0,0,0,0,6.472198671,0,11.80609667,0,0,0,0,0,0,0,0,46.58,0,0,0,0,7.58,0,0,0,0,8.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0,0,0
WBGene00011771,T14G8.3,18,235.023,40.931,443.118,449.172,191.506,446.942,2682.466,6.730516432,345.2473411,532.7082818,202.4831051,389.3069504,370.9379996,115.8922833,604.1630081,191.5056763,423.1318545,240.1667022,257.912142,824.6252506,120.69144,267.7450567,161.4077357,199.8817009,177.0746991,364.9241121,365.1296482,428.2517943,282.2808248,531.0764212,509.4875219,1097.979678,275.4985376,413.42,243.49,118.81,803.57,575.16,50.68,261.83,353.87,220.8,166.3,333.85,71.45,176.46,118.54,92.07,0,111.14,159.26,542.74,337.06,445.52,283.17,267.75,730.14,56.42,364.92,181.37,52.87,123.01,21.92,370.32,313.48,309.82,101.47,264.83,336.94,350.22,0,51.71,134.3
